,kinase,kinase_name,TF,gene,p_value,r_squared,adjusted_r_squared,tf_coef,kinase_coef,interaction_coef,BH_critical_value,effect_on_tf,effect_on_gene,tfs_targeting_gene,kinases_targeting_tf,kinases_targeting_tfs_targeting_gene,tf_targets_num_genes,kinase_targets_num_genes,tf_coefficient_regularized,kinase_coefficient_regularized,interaction_coefficient_regularized,name,tnseq_ess,crispr_ess,Vulnerability Index
64,Rv3080c,PknK,Rv0081,Rv2502c,8.114628839025082e-17,0.32003832269941357,0.30341703725428815,-0.04997544645684653,0.2031633387466349,0.19347526577079427,0.0003971163245356794,-1.0,1.0,1,5,5,280,72,-0.03906750393496977,0.23021478742468238,0.17910544622312297,accD1,NonEssential,NonEssential,1.021
65,Rv1746,PknF,Rv0023,Rv1061,1.163703077283051e-16,0.34145166264329674,0.3312978336532154,-0.08866883684681864,0.15102715612558787,-0.2620449057542982,0.0004032258064516129,1.0,-1.0,1,3,3,481,42,-0.06512232797123846,0.11863941671608269,-0.20999694466914076,Rv1061,NonEssential,NonEssential,1.091
66,Rv1743,PknE,Rv3417c,Rv0085,1.2085902587549266e-16,0.6983421469521667,0.6780919670021964,0.2448459769185709,0.08628387458943695,-0.7185243220986575,0.00040933528836754646,-1.0,-1.0,5,8,8,18,33,0.2084424389595528,0.1619808118759433,-0.49467288119883374,hycP,NonEssential,NonEssential,0.62
67,Rv3080c,PknK,Rv0081,Rv3109,1.6442692586100327e-16,0.6362654506863488,0.6189053926509245,-0.13397520613058142,-0.21863564633425414,0.21921227635555882,0.00041544477028347996,-1.0,1.0,7,5,5,280,72,-0.1058819185417586,-0.15970855904712952,0.19707312506200042,moaA1,NonEssential,NonEssential,1.107
68,Rv0931c,PknD,Rv3223c,Rv2399c,1.9480964226785171e-16,0.5733286024839167,0.5599652924945986,0.7116201047098794,-0.025606532928922912,0.5922009374109684,0.00042155425219941346,1.0,1.0,2,5,5,110,23,0.6410106706306823,-0.023839180828392627,0.5729382300723186,cysT,Essential,NonEssential,-0.07
69,Rv1746,PknF,Rv0023,Rv0053,2.971374103263841e-16,0.34514245373371744,0.3350455312141932,-0.5510988808127436,0.538207167973512,-0.5545108558134657,0.000427663734115347,1.0,-1.0,1,3,3,481,42,-0.48960172242401445,0.45523299541904594,-0.4778620171636018,rpsF,Essential,Essential,-10.207
70,Rv1743,PknE,Rv3417c,Rv0081,3.0804884678320085e-16,0.7223987264227807,0.7091495747293226,0.24917972012153164,0.30885431448619194,-0.9188241935496372,0.0004337732160312805,-1.0,-1.0,2,8,8,18,33,0.24353754636103792,0.15613417242712305,-0.7069731894051638,Rv0081,NonEssential,NonEssential,0.948
71,Rv1746,PknF,Rv0023,Rv3603c,3.602441844685904e-16,0.2596607833123311,0.2482458614691292,0.07834323487679025,-0.008535831467303516,-0.41176419091993,0.00043988269794721413,-1.0,-1.0,1,3,3,481,42,0.06752989204638325,0.015633658976775978,-0.3679049956740425,Rv3603c,Essential,Essential,-4.267
72,Rv3080c,PknK,Rv0081,Rv2505c,3.7776933511968804e-16,0.5433389232641728,0.5300875973767492,-0.017117406581928396,0.1830281174982922,0.1598339916706104,0.0004459921798631477,-1.0,1.0,2,5,5,280,72,-0.0012190293366466163,0.17613802573835544,0.16420159981345636,fadD35,NonEssential,NonEssential,0.932
73,Rv2088,PknJ,Rv3133c,Rv2631,4.3168282363794184e-16,0.6030679174629561,0.5933651332231616,0.4131414309675603,-0.3402258935540883,-0.4474756149880879,0.0004521016617790812,-1.0,-1.0,4,3,3,81,6,0.4244636572501455,-0.24124152839519372,-0.4447798153014085,Rv2631,NonEssential,NonEssential,1.513
74,Rv1743,PknE,Rv1423,Rv3310,5.276182836567568e-16,0.6989963532380811,0.6874714388350347,-0.0599511952165848,-0.008329717062825924,0.7948117529608972,0.0004582111436950147,-1.0,1.0,3,6,6,22,33,-0.10538359210509976,0.0,0.6751577760345248,sapM,NonEssential,NonEssential,1.262
75,Rv1746,PknF,Rv0023,Rv3530c,1.1883013428691965e-15,0.44616708638041247,0.4351394398702879,0.06822824756757569,-0.6157406405667958,-0.5182847224675137,0.00046432062561094825,-1.0,-1.0,3,3,3,481,42,0.012499216233200371,-0.5333343296722284,-0.43784497822588,Rv3530c,NonEssential,NonEssential,0.88
76,Rv3080c,PknK,Rv0023,Rv1365c,1.2007792295967541e-15,0.8194354725914806,0.8103866807851312,-0.1917622557083429,0.360958806510419,-0.27754783500172747,0.00047043010752688175,1.0,-1.0,5,3,5,481,72,-0.18098671513343792,0.3028606994605243,-0.23229407558060125,rsfA,NonEssential,NonEssential,0.134
77,Rv3080c,PknK,Rv0081,Rv2579,1.668339151030247e-15,0.6207759056719142,0.6062560642224155,-0.1373555704085337,-0.10010800012847561,-0.1740131956254176,0.0004765395894428153,1.0,-1.0,3,5,5,280,72,-0.1423522597657671,-0.12413385565322324,-0.15300745716949965,dhaA,NonEssential,NonEssential,0.127
78,Rv2176,PknL,Rv0081,Rv1687c,1.8118161778928687e-15,0.42897478290078805,0.41501638870502955,-0.15149597488385963,-0.7308173099260599,0.2858790018667184,0.0004826490713587488,-1.0,1.0,1,5,5,280,64,-0.16792629224180647,-0.43027751176559337,0.21814833139022363,Rv1687c,NonEssential,NonEssential,0.042
79,Rv3080c,PknK,Rv3058c,Rv1393c,1.979416528054855e-15,0.43418245580731074,0.41251827055668977,0.21892131583232227,0.3712735726336179,-0.5213193414069615,0.0004887585532746823,-1.0,-1.0,4,2,5,158,72,0.17744258043994213,0.29410623446027134,-0.4638564043740343,Rv1393c,NonEssential,NonEssential,1.699
80,Rv1746,PknF,Rv0023,Rv1470,2.0156481500041035e-15,0.49435782049336263,0.4865615754348902,-0.593075904114187,0.1604568240171935,-0.3866155886714555,0.0004948680351906158,1.0,-1.0,1,3,3,481,42,-0.5462799581019947,0.12994470339271566,-0.3381968464194342,trxA,NonEssential,NonEssential,0.158
